A Face in the Dross			1000							1150	1200				980		4330	1	0
A Taste of Autumn			300		575		875	245	620	435					520		3570	2	0
A Taste of The New World					450			260	400	360	500		230				2200	3	0
Abandoned Cobweb		450			550		450	350						900	725		3425	1	0
Acorn Indian	2	250		550	800	450	700		450				800				4000	1	0
Aged Driftwood		1200			600	900			500		600	700			250		4750	1	0
Animal Canine			2500			2500		4250									9250	7	0	0
Argopelter Beak			1800					3200								1200	6200	1	0	0
Argopelter Liver			1350					3250					2150				6750	3	0	0
Ashes of Maudney				5000													5000	25	0
Aspen Masque					1000			1250				750		1250			4250	1	0
Bar of Bubbly Soap		2275		2000			2800		1400				500			1200	10175	1	0
Bar of Rose Scented Soap				2200			2800		2600				500			3200	11300	1	0
Beaming-Proud Sunflower				1750					1200		2800	3190	1700		750	300	11690	1	0
Beautiful Seashell				575	400		950	600	750				750		900		4925	1	0
Beetle							825				750		1200		1350	75	4200	1	0
Berrysauce Boat									1425		750		2650			475	5300	5	0
Big Autumn Masque				1500								1250	1500	1250			5500	1	0
Birchbark Origami		1750				1500	2000		1750					1500			8500	3	0
Black Pearl		2650	2400							3550						2100	10700	5	0
Brain			450	200								150			750	175	1725	1	0
Brick of Fallen Babel		750		750		1200			1000	1250	900						5850	1	0
Brick of Fallen Jericho		2500	1000			2000					2000					500	8000	1	0
Brick of Fallen Sodom & Gomorrah			2000			2000				2000	4500	1500				1000	13000	1	0
Brilliant Honey-Dew					2500		2500						4250				9250	7	0
Broken Bough		250		150	375	275	200	255	180	100	215	160	210	185	235		2790	1	0
Bunny Darko			1250	1500	2000				2000		1500					500	8750	1	0
Bunny Masque		750	750	1500									1500			250	4750	1	0
Captivating Flame				200	350				400		550				75	35	1610	3	0
Carpenter's Square						5000											5000	25	0
Caterpillar in a Jar					2325				885				1450		1450		6110	4	0
Closed Beta Diploma																2500	2500	1	0
Cloud of Lather				1500					2275		700						4475	1	0
Clover				450	330				300			250	320				1650	1	0
Coffin Plank		2000	550	1250		1250	750					750					6550	1	0
Colored Marbles		1275				500				900	300	800		500			4275	3	0
Colorful Autumn Leaf					2500		2500								4250		9250	7	0
Concordat of Worms			900	1550					1300			2000		1200			6950	3	0
Connecticut Field Masque				1750			1200		1750			1200		1250			7150	1	0	0	0
Creepy Centipede			2100								2750				3350	1175	9375	2	0
Cricket Team			750		2700		1750	1700							200		7100	3	0
Cricket Violin		2975			1500			2350						400	4500	300	12025	1	0
Cross-Shaped Wood Splinter				1400		1250		150	950							700	4450	1	0
Crown of Thorns				1750					1200			800		2000		350	6100	1	0
Curious Cabbage							1250					1000	550		1150		3950	1	0
Curious Indian Corn									1950		1100	2500			375		5925	2	0
Davy Jones' Locker			750	2000		3000	2500					1500				750	10500	5	0
Dead Rat			500		700			900								200	2300	1	0
Dead Wartbite Cricket					700		500	900							200		2300	1	0
Decorative Woodcarving		620		240		1280		350				500	500				3490	2	0
Deer Antlers		450				850		2100	575						1750		5725	1	0
Deer Hoof			675		1400	850		2250	620						1750		7545	1	0
Dehydrated Rose				150									1500			1500	3150	1	0
Devil's Wort	1		150	250			750								1125	45	2320	1	0
Dried Long Ear			250		950		970	750						800	200		3920	1	0
Earthworm Python			750		780							1200		900	850		4480	1	0
